Voltage (V), Current (A)
0.000000,3.356839e-15
0.100000,2.766294e-13
0.200000,3.970166e-13
0.300000,4.811445e-13
0.400000,3.597069e-13
0.500000,4.467852e-13
0.600000,5.412748e-13
0.700000,6.193846e-13
0.800000,6.734509e-13
0.900000,7.358967e-13
1.000000,8.061752e-13
1.000000,8.995281e-13
0.900000,5.151266e-13
0.800000,5.472547e-13
0.700000,2.855137e-13
0.600000,3.288844e-13
0.500000,5.013513e-14
0.400000,2.285419e-13
0.300000,1.799078e-13
0.200000,-5.546501e-14
0.100000,2.499835e-14
0.000000,-1.106245e-15
